City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Kalaleh,IR,2022-11-09 04:18:18,37.3807,55.4916,44.2,76,20,4.61
169,Tiksi,RU,2022-11-09 04:18:19,71.6872,128.8694,-10.37,97,100,9.15
170,Santa,PH,2022-11-09 04:18:19,17.486,120.4348,84.02,57,10,4.72
171,Tura,IN,2022-11-09 04:18:19,25.5198,90.2201,76.35,66,5,1.05
172,Malanje,AO,2022-11-09 04:18:19,-9.5402,16.341,64.54,87,100,7.49
173,Airai,TL,2022-11-09 04:18:20,-8.9266,125.4092,76.48,55,58,1.72
174,San Ramon,US,2022-11-09 04:14:16,37.7799,-121.978,49.3,86,75,11.01
175,Daru,PG,2022-11-09 04:18:20,-9.0763,143.2092,84.88,70,100,12.21
176,Slave Lake,CA,2022-11-09 04:18:20,55.2834,-114.769,3.18,78,0,3.44
177,Sur,OM,2022-11-09 04:18:21,22.5667,59.5289,84.87,45,22,3.96
178,Los Llanos De Aridane,ES,2022-11-09 04:18:21,28.6585,-17.9182,65.95,73,0,8.05
179,Svetlaya,RU,2022-11-09 04:18:21,46.5389,138.3297,45.7,51,39,11.5
180,Vangaindrano,MG,2022-11-09 04:18:21,-23.35,47.6,73.76,79,30,5.5
181,Cabo San Lucas,MX,2022-11-09 04:14:18,22.8909,-109.9124,74.5,73,1,5.01
182,Thompson,CA,2022-11-09 04:15:33,55.7435,-97.8558,5.16,85,100,9.22
183,Along,IN,2022-11-09 04:18:22,28.1667,94.7667,76.03,52,6,1.07
184,Lorengau,PG,2022-11-09 04:18:22,-2.0226,147.2712,85.14,68,100,5.46
185,Bam,IR,2022-11-09 04:18:22,29.106,58.357,61.7,32,66,1.43
186,Kirensk,RU,2022-11-09 04:18:23,57.7853,108.1119,22.1,80,97,8.48
187,Soe,ID,2022-11-09 04:18:23,-9.8607,124.284,78.42,64,100,3.8
188,Roma,US,2022-11-09 04:14:06,43.2128,-75.4557,34.66,72,0,3.44
189,Bethanien,NA,2022-11-09 04:19:23,-26.502,17.1583,57.88,49,8,3.31
